BATBC,BEXIMCO,LANKABANGLA
3712.1,23.9,24.6
3665.2,24,24.6
3652.8,24,27
3655.6,24.1,26.4
3663.7,24.6,26.5
3660,24.2,26.4
3668.9,24,26.5
3649.2,23.9,26.2
3652.9,23.8,25.8
3652.4,23.8,25.9
3641.9,23.8,25.9
3717.3,23.6,26
3765,23.4,26.2
3777.3,23.3,26.3
3714.5,23.1,26.1
3745.5,23,26
3750.6,23.1,26
3938.1,23.2,24.4
3949.5,23.1,24.4
4580,22.8,23.7
4549.4,22.5,23.8
4776.7,22.2,23.3
4904.2,22,22.8
4720.9,22.6,23.1
4684.1,22.9,22.9
4658.1,22.7,22.9
4626.4,22.4,22.6
4601.1,22.6,22.6
4533.9,22.5,22.2
4483.1,22.6,22.2
4547.1,22.5,22.3
4539.5,22.4,22.2
4607.4,22.4,22.5
4565.5,22.3,22.2
4565.5,22.2,22.2
1616.9,22.1,21.8
1673.3,21.7,21.1
1569.5,21.6,20.6
1508.7,21.5,20.3
1532.6,22.3,20.8
1504.9,22.2,20.6
1480.6,21.8,20.4
1466.2,22,20.5
1476.8,22.7,21
1477.2,22.4,21.1
1459.1,21.9,20.7
1439.8,22,20.4
1436.9,22,20.6
1400,21.9,20.5
1341.4,22.4,20.4
1370.8,22.9,20.3
1369.6,23.5,21.4
1440.2,23.6,22.6
1427.9,23.3,22.2
1393.1,22.8,21.7
1385.4,22.7,21.1
1383.3,23.1,21
1377.8,23.1,21.2
1367.3,22.8,21
1353.5,23.1,20.8
1341.7,23,20.9
1341.9,22.9,21.1
1348.7,23.6,22.3
1347.4,23.3,21.7
1335.7,23,21.1
1334.6,23.1,21.4
1334.9,23,21.3
1267.5,22.8,21.1
1258.7,22.6,21.6
1331.3,23.1,21.8
1329.3,22.9,22
1325.9,23,22.1
1383.1,23,22.2
1413.6,23.2,22
1418,23.5,22.1
1403.9,23.2,22
1401,23.1,22.1
1406.4,23,21.6
1367.8,22.7,21
1377.5,22.6,21
1367.8,22.6,21
1357.9,22.5,20.9
1346.1,22.4,20.8
1349,22.4,20.9
1344.2,22.5,20.9
1352.6,22.4,21
1349.9,22.6,21
1368.1,22.4,21.1
1348.3,22.3,20.9
1343.5,22.2,20.7
1326.2,22.3,20.6
1314,22.1,20.5
1315.1,22,20.2
1309.8,21.7,20
1296.3,21.3,19.2
1299.8,21.1,19.2
1292,20.7,18.7
1272.3,20.1,17.7
1283.7,20.3,18
1274.4,20.1,18
1275,19.5,17.7
1258,18.1,17
1219.7,17.5,16.7
1254.9,18.6,17.8
1251.2,18.4,17.8
1298.1,19.3,17.7
1329,19.3,17.5
1319.2,19.1,17.3
1250.6,18.5,17
1230.5,18.5,17.4
1238.5,18.8,17.5
1233.6,18.7,17.7
1229.3,18.7,17.5
1227.7,18.9,18
1217,18.9,18.5
1227.4,18.9,18.3
1223.5,18.8,18
1220.1,18.9,17.9
1216.5,19,18
1210.7,19.4,18
1203.6,21.2,18.5
1189.8,21.3,18.4
1171.6,20.3,17.9
1196,20.8,17.8
1224,20.5,17.5
1209.8,20.1,17.3
1210.9,19.9,17
1205.7,19.2,16.8
1191.8,19,16.8
1171.3,19.1,16.7
1172.5,19.6,16.7
1169.4,19.6,17
1153.4,19.2,16.7
1138.5,18.9,16.2
1118.6,18.9,16.2
1101.5,19.1,16.1
1165.8,19.2,16
1178.2,18.9,15.8
1149.6,18.8,15.7
1141.8,18.6,15.6
1168.1,18.7,15.7
1198.2,18.9,16.4
1182.9,18.8,16.3
1171.1,18.6,16.1
1169.2,18.7,16.1
1154.5,18.6,16.2
1150.1,18.4,16.6
1143.2,18.6,16.4
1141.2,18.4,16.1
1140.9,18.4,16.2
1142.1,18.9,16.1
1134.2,18.6,15.9
1113.3,18.3,15.7
1108.3,17.8,15.3
1111.3,17.4,14.8
1101.4,17.1,14.7
1109.7,17.7,15.1
1098.8,17.1,15
1100.3,17.2,14.9
1127.6,17.1,14.9
1097.1,17,14.8
1067.5,16.7,14.5
1057.4,16.7,14.5
1092.1,17.1,14.8
1099.7,16.9,14.6
1119,16.3,14.2
1119.5,15.4,14
1123.7,15.1,14.3
1149.5,15.4,14.4
1149.1,15.5,14.5
1128.8,15.2,14.3
1125.4,15.3,14.3
1126.6,15.7,15.7
1126.3,15.8,15.8
1127.3,15.8,16.8
1116.3,15.5,16.6
1105.9,15.1,16
1099.4,14.7,16.4
1094,14.9,17
1092.6,14.8,17.2
1085.2,14.7,16.8
1083.1,15,16.6
1083.8,14.9,17.2
1093.9,15,17
1090.3,15,17.6
1082,15.2,18.7
1079,15.3,18.4
1072.6,15.4,19.5
1088.7,16.3,19.5
1085.1,15.7,18.9
