DATE,TRADING CODE,LTP,HIGH,LOW,OPEN,CLOSE,YCP,TRADE,VALUE (mn),VOLUME
2/11/2019,BATBC,"3,720","3,720","3,690","3,715","3,712.10","3,709.40",139,30.491,"8,222"
2/12/2019,BATBC,"3,661","3,729","3,655","3,655","3,665.20","3,712.10",38,0.718,196
2/13/2019,BATBC,"3,664","3,699.80","3,600.20","3,699.80","3,652.80","3,665.20",117,6.673,"1,825"
2/14/2019,BATBC,"3,664.50","3,665","3,600","3,602","3,655.60","3,652.80",70,4.827,"1,323"
2/17/2019,BATBC,"3,640","3,673","3,620","3,650","3,663.70","3,655.60",44,1.386,379
2/18/2019,BATBC,"3,660.10","3,690","3,635","3,680","3,660","3,663.70",39,3.461,946
2/19/2019,BATBC,"3,668.90","3,668.90","3,668.90","3,668.90","3,668.90","3,660",1,0.004,1
2/20/2019,BATBC,"3,650","3,668.10","3,500","3,665","3,649.20","3,668.90",103,5.149,"1,410"
2/24/2019,BATBC,"3,658","3,658","3,645.90","3,649.20","3,652.90","3,649.20",22,0.752,206
2/25/2019,BATBC,"3,650.50","3,665","3,649","3,650","3,652.40","3,652.90",33,3.9,"1,068"
2/26/2019,BATBC,"3,626","3,649","3,620","3,620","3,641.90","3,652.40",29,0.778,214
2/27/2019,BATBC,"3,750","3,750","3,570","3,570","3,717.30","3,641.90",35,0.654,177
3/3/2019,BATBC,"3,750","3,780","3,717.30","3,717.30","3,765","3,717.30",121,3.142,838
3/4/2019,BATBC,"3,778","3,778","3,650","3,762","3,777.30","3,765",200,31.816,"8,609"
3/5/2019,BATBC,"3,716","3,799.90","3,680","3,799.90","3,714.50","3,777.30",103,4.071,"1,087"
3/6/2019,BATBC,"3,750","3,759.90","3,710.10","3,759.90","3,745.50","3,714.50",34,1.472,393
3/7/2019,BATBC,"3,760","3,765","3,706","3,765","3,750.60","3,745.50",116,8.246,"2,197"
3/10/2019,BATBC,"3,938.10","3,938.10","3,760","3,799","3,938.10","3,750.60",351,38.814,"9,867"
3/11/2019,BATBC,"3,950","4,130","3,941.10","4,100","3,949.50","3,938.10",675,61.59,"15,313"
3/12/2019,BATBC,"4,600","5,500","4,546.10","5,100","4,580","3,949.50","6,805",753.68,"159,122"
3/13/2019,BATBC,"4,549.90","4,610","4,482","4,610","4,549.40","4,580","2,925",435.461,"95,837"
3/14/2019,BATBC,"4,760","4,776.80","4,535","4,549.40","4,776.70","4,549.40","3,830",536.947,"113,460"
3/18/2019,BATBC,"4,899.90","5,014.80","4,819","4,850","4,904.20","4,776.70","4,231",321.344,"65,034"
3/19/2019,BATBC,"4,719","4,925","4,700","4,925","4,720.90","4,904.20","4,801",294.953,"61,701"
3/20/2019,BATBC,"4,692.20","4,750","4,652","4,750","4,684.10","4,720.90","3,237",199.323,"42,257"
3/21/2019,BATBC,"4,650","4,740","4,642","4,684.10","4,658.10","4,684.10","3,085",167.997,"35,897"
3/24/2019,BATBC,"4,635","4,697.90","4,600","4,665","4,626.40","4,658.10","3,119",124.392,"26,846"
3/25/2019,BATBC,"4,610","4,659","4,598.10","4,658.60","4,601.10","4,626.40","3,461",195.883,"42,368"
3/27/2019,BATBC,"4,530","4,650","4,528.10","4,650","4,533.90","4,601.10","5,266",267.079,"58,491"
3/28/2019,BATBC,"4,475","4,545","4,473.50","4,541","4,483.10","4,533.90","5,327",264.937,"58,846"
3/31/2019,BATBC,"4,520","4,600","4,483","4,483","4,547.10","4,483.10","4,164",237.737,"52,075"
4/1/2019,BATBC,"4,530","4,590","4,529.10","4,550","4,539.50","4,547.10","4,813",351.612,"77,300"
4/2/2019,BATBC,"4,598","4,685","4,544.20","4,544.20","4,607.40","4,539.50","4,061",248.603,"53,757"
4/3/2019,BATBC,"4,560","4,650","4,549.10","4,633","4,565.50","4,607.40","6,634",377.17,"82,343"
4/4/2019,BATBC,0,0,0,0,"4,565.50","4,565.50",0,0,0
4/7/2019,BATBC,"1,616.90","1,616.90","1,616.90","1,616.90","1,616.90","4,565.50",355,68.861,"42,588"
4/8/2019,BATBC,"1,679.90","1,717.90","1,640.10","1,717.90","1,673.30","1,616.90","9,563",575.949,"338,926"
4/9/2019,BATBC,"1,568.80","1,673.30","1,568.80","1,673.30","1,569.50","1,673.30","5,606",207.094,"129,194"
4/10/2019,BATBC,"1,517","1,560","1,497.50","1,560","1,508.70","1,569.50","3,494",85.387,"56,255"
4/11/2019,BATBC,"1,535","1,543.70","1,508.70","1,509.20","1,532.60","1,508.70","2,545",52.717,"34,436"
4/15/2019,BATBC,"1,506.20","1,549.90","1,501","1,533","1,504.90","1,532.60","2,590",49.322,"32,330"
4/16/2019,BATBC,"1,474.10","1,520","1,465.60","1,520","1,480.60","1,504.90","2,519",50.159,"33,811"
4/17/2019,BATBC,"1,466.20","1,505","1,462.20","1,480.60","1,466.20","1,480.60","1,683",30.364,"20,627"
4/18/2019,BATBC,"1,481","1,485","1,466.20","1,466.20","1,476.80","1,466.20","1,197",24.33,"16,473"
4/21/2019,BATBC,"1,480.50","1,497.70","1,473","1,480","1,477.20","1,476.80","1,818",38.306,"25,830"
4/23/2019,BATBC,"1,463.20","1,480","1,457.20","1,479","1,459.10","1,477.20","1,380",27.176,"18,526"
4/24/2019,BATBC,"1,440.60","1,457.80","1,433","1,457.70","1,439.80","1,459.10","1,362",24.732,"17,142"
4/25/2019,BATBC,"1,437.80","1,447.50","1,432.10","1,440","1,436.90","1,439.80","1,145",19.455,"13,533"
4/28/2019,BATBC,"1,399.40","1,443.90","1,396.20","1,440","1,400","1,436.90","1,561",27.704,"19,518"
4/29/2019,BATBC,"1,342","1,405","1,331","1,405","1,341.40","1,400","1,896",29.765,"22,011"
4/30/2019,BATBC,"1,372","1,386.90","1,334.40","1,335","1,370.80","1,341.40","1,436",26.997,"19,753"
5/2/2019,BATBC,"1,373.70","1,399","1,365","1,365","1,369.60","1,370.80","1,723",31.37,"22,795"
5/5/2019,BATBC,"1,447","1,449","1,371","1,440","1,440.20","1,369.60","1,843",31.404,"22,251"
5/6/2019,BATBC,"1,429.50","1,450","1,410","1,450","1,427.90","1,440.20","1,431",20.838,"14,557"
5/7/2019,BATBC,"1,395","1,438.70","1,391.10","1,438.70","1,393.10","1,427.90","1,644",27.667,"19,729"
5/8/2019,BATBC,"1,384.70","1,393.10","1,374.10","1,393.10","1,385.40","1,393.10",630,11.475,"8,281"
5/9/2019,BATBC,"1,385","1,394.10","1,381","1,388","1,383.30","1,385.40",683,10.119,"7,308"
5/12/2019,BATBC,"1,381","1,399","1,375.10","1,399","1,377.80","1,383.30",795,13.248,"9,564"
5/13/2019,BATBC,"1,368.90","1,379.10","1,366.10","1,378.80","1,367.30","1,377.80",751,13.597,"9,919"
5/14/2019,BATBC,"1,355","1,383","1,351","1,383","1,353.50","1,367.30",880,14.445,"10,623"
5/15/2019,BATBC,"1,342.20","1,360","1,340","1,353.70","1,341.70","1,353.50",890,13.978,"10,387"
5/16/2019,BATBC,"1,344","1,357","1,337","1,356.90","1,341.90","1,341.70",660,9.736,"7,255"
5/19/2019,BATBC,"1,349.90","1,359.90","1,345.70","1,359.90","1,348.70","1,341.90",620,14.348,"10,632"
5/20/2019,BATBC,"1,349","1,355","1,346","1,355","1,347.40","1,348.70",584,11.356,"8,419"
