DATE,TRADING CODE,LTP,HIGH,LOW,OPEN,CLOSE,YCP,TRADE,VALUE (mn),VOLUME
2/11/2019,BEXIMCO,23.8,24.2,23.8,24.2,23.9,24.2,962,48.394,"2,016,177"
2/12/2019,BEXIMCO,24,24.2,23.9,24,24,23.9,"1,044",51.342,"2,137,646"
2/13/2019,BEXIMCO,24.2,24.3,23.9,24,24,24,933,48.96,"2,033,729"
2/14/2019,BEXIMCO,24.2,24.2,24,24.2,24.1,24,820,36.494,"1,515,199"
2/17/2019,BEXIMCO,24.5,24.7,24,24.2,24.6,24.1,"1,974",123.063,"5,057,749"
2/18/2019,BEXIMCO,24.2,24.7,24.1,24.7,24.2,24.6,802,30.857,"1,265,849"
2/19/2019,BEXIMCO,23.9,24.3,23.9,24.2,24,24.2,"1,021",56.329,"2,342,910"
2/20/2019,BEXIMCO,24,24.2,23.9,24.2,23.9,24,865,33.371,"1,392,863"
2/24/2019,BEXIMCO,23.8,24,23.8,24,23.8,23.9,850,37.98,"1,591,749"
2/25/2019,BEXIMCO,23.8,24,23.8,23.8,23.8,23.8,599,20.199,"847,412"
2/26/2019,BEXIMCO,23.9,24,23.8,23.8,23.8,23.8,584,23.446,"981,965"
2/27/2019,BEXIMCO,23.6,23.9,23.5,23.9,23.6,23.8,743,38.449,"1,625,302"
3/3/2019,BEXIMCO,23.4,23.8,23.3,23.7,23.4,23.6,817,27.969,"1,189,230"
3/4/2019,BEXIMCO,23.4,23.7,23.2,23.4,23.3,23.4,586,24.69,"1,059,267"
3/5/2019,BEXIMCO,23,23.4,23,23.3,23.1,23.3,629,18.523,"799,289"
3/6/2019,BEXIMCO,23,23.2,22.9,23.1,23,23.1,639,25.32,"1,098,788"
3/7/2019,BEXIMCO,23.1,23.2,22.9,23.1,23.1,23,465,14.161,"614,610"
3/10/2019,BEXIMCO,23.1,23.5,23.1,23.2,23.2,23.1,484,14.625,"628,399"
3/11/2019,BEXIMCO,23.1,23.2,23,23.2,23.1,23.2,405,17.763,"769,882"
3/12/2019,BEXIMCO,22.8,23.2,22.7,23.2,22.8,23.1,671,19.461,"850,865"
3/13/2019,BEXIMCO,22.6,23,22.5,22.8,22.5,22.8,741,25.571,"1,131,290"
3/14/2019,BEXIMCO,22.3,22.7,22.2,22.5,22.2,22.5,815,23.099,"1,031,779"
3/18/2019,BEXIMCO,22,22.6,22,22.6,22,22.2,773,25.129,"1,137,143"
3/19/2019,BEXIMCO,22.7,22.8,22.1,22.1,22.6,22,801,23.619,"1,052,027"
