DATE,HIGH,LOW,OPEN,CLOSE,VOLUME
2/11/2019,89.4,88.6,88.6,89,"150,915"
2/12/2019,90,88.9,88.9,89.8,"277,583"
2/13/2019,89.8,89,89.8,89.3,"104,326"
2/14/2019,89.9,88,88.6,89.2,"179,241"
2/17/2019,90.1,88,88,89.9,"114,225"
2/18/2019,90,88.8,89,89,"170,449"
2/19/2019,89,88,88.5,88.6,"211,450"
2/20/2019,90.1,88.7,89.2,89.7,"141,583"
2/24/2019,92.5,89.9,91,91.1,"365,984"
2/25/2019,92.5,91,91,91.2,"462,117"
2/26/2019,93.5,91.1,91.2,92.4,"492,241"
2/27/2019,92.4,90.7,92.3,91,"315,540"
3/3/2019,91,89.5,90.8,89.8,"153,213"
3/4/2019,89,87,89,88.1,"300,938"
3/5/2019,89.7,87.2,89.4,88.6,"215,987"
3/6/2019,89.8,88.2,88.3,88.4,"115,845"
3/7/2019,88.6,87,88.4,87.1,"102,897"
3/10/2019,88.1,87,87.3,87.7,"131,021"
3/11/2019,88,86.2,87.8,86.7,"227,684"
3/12/2019,88.3,86.5,86.7,87.4,"152,817"
3/13/2019,87.3,86.4,87.3,86.5,"107,997"
3/14/2019,87.5,86,86.2,86.3,"189,980"
3/18/2019,86.4,85.7,86.3,86.1,"147,965"
3/19/2019,87,85.8,87,86,"177,611"
3/20/2019,87,86,86.5,86.3,"243,082"
3/21/2019,86.8,86,86.3,86.2,"72,607"
3/24/2019,86,84.3,86,84.7,"42,279"
3/25/2019,87,84.8,84.8,86.3,"215,356"
3/27/2019,86,85,85.5,85.4,"34,955"
3/28/2019,85.5,85.3,85.4,85.4,"20,802"
3/31/2019,86,84,85.9,84.2,"177,746"
4/1/2019,85.5,83.9,84,84.1,"146,331"
4/2/2019,86,84,84.5,85.5,"48,086"
4/3/2019,85.5,84,85.5,84.6,"114,217"
4/4/2019,85.7,84.3,84.3,84.9,"84,870"
4/7/2019,85,83,84.8,83.6,"60,408"
4/8/2019,84.7,82.7,83,83.2,"120,058"
4/9/2019,84.2,83.1,83.3,83.8,"47,717"
4/10/2019,83.6,83,83.6,83.1,"185,658"
4/11/2019,84,82.8,83.9,83.3,"96,284"
4/15/2019,83.3,82.3,83,82.7,"24,478"
4/16/2019,83,79,83,81.3,"261,731"
4/17/2019,83.2,79.6,80.5,82.3,"73,488"
4/18/2019,83.5,82.1,82.5,83.2,"174,768"
4/21/2019,83,79.7,80,81.3,"85,190"
4/23/2019,82.7,80,81.4,80.4,"52,403"
4/24/2019,81,79.5,80.1,80.8,"38,437"
4/25/2019,80.8,77.6,80.8,78.1,"183,711"
4/28/2019,80.7,78.6,79.9,80,"28,741"
4/29/2019,80.8,78.5,80.8,79.8,"183,100"
4/30/2019,82,80,80,80.8,"1,030,737"
5/2/2019,82.4,81,81,82,"683,518"
5/5/2019,84.3,82.5,82.5,83,"202,902"
5/6/2019,83.9,81.5,83.9,81.8,"174,353"
5/7/2019,82.2,80.4,82.2,80.5,"113,892"
5/8/2019,81,79.9,80.5,80,"569,872"
5/9/2019,81.5,79.6,80.9,79.9,"388,934"
5/12/2019,80.8,79.3,80.4,79.8,"69,718"
5/13/2019,80.4,79.6,79.8,79.9,"58,640"
5/14/2019,79.8,78.1,79.8,78.5,"151,030"
5/15/2019,78.8,77.6,78.4,77.8,"136,825"
5/16/2019,78.2,76.9,78.2,77.5,"115,183"
5/19/2019,78.8,77.3,78,78.1,"373,706"
5/20/2019,78.1,76.7,78.1,76.9,"173,651"
5/21/2019,78,76.7,77.3,77.3,"96,868"
5/22/2019,77.7,76.8,77.7,77.4,"298,711"
5/23/2019,77.9,77.2,77.5,77.6,"86,568"
5/26/2019,77.8,76.9,76.9,77.5,"65,536"
5/27/2019,78.4,77.1,77.8,77.8,"317,648"
