DATE,TRADING CODE,LTP,HIGH,LOW,OPEN,CLOSE,YCP,TRADE,VALUE (mn),VOLUME
2/11/2019,LANKABAFIN,24.6,25,24.3,24.8,24.6,24.8,656,22.682,"922,849"
2/12/2019,LANKABAFIN,25,25,24.5,24.7,24.6,24.6,586,21.771,"882,900"
2/13/2019,LANKABAFIN,27,27.8,24.6,24.8,27,24.6,"2,855",163.502,"6,096,755"
2/14/2019,LANKABAFIN,26.3,27.2,26.2,27,26.4,27,786,34.872,"1,319,789"
2/17/2019,LANKABAFIN,26.6,26.9,25.9,26.4,26.5,26.4,707,36.616,"1,386,568"
2/18/2019,LANKABAFIN,26.4,27.1,26.3,27,26.4,26.5,766,45.366,"1,701,074"
2/19/2019,LANKABAFIN,26.4,26.7,26.2,26.5,26.5,26.4,432,22.137,"837,328"
2/20/2019,LANKABAFIN,26.2,26.7,26.2,26.5,26.2,26.5,432,15.994,"607,228"
2/24/2019,LANKABAFIN,25.8,26.4,25.6,26.2,25.8,26.2,450,18.25,"706,614"
2/25/2019,LANKABAFIN,25.8,26.4,25.6,25.8,25.9,25.8,542,19.091,"733,250"
2/26/2019,LANKABAFIN,25.8,26.3,25.7,26,25.9,25.9,435,14.631,"562,719"
2/27/2019,LANKABAFIN,26,26.1,25.8,25.9,26,25.9,433,18.87,"728,897"
3/3/2019,LANKABAFIN,26.3,26.7,26,26,26.2,26,681,36.942,"1,400,895"
3/4/2019,LANKABAFIN,26.5,26.6,26,26.5,26.3,26.2,598,27.257,"1,034,819"
3/5/2019,LANKABAFIN,26.2,26.4,25.9,26.4,26.1,26.3,468,23.658,"905,965"
3/6/2019,LANKABAFIN,26.1,26.2,25.9,26.1,26,26.1,821,55.264,"2,119,868"
3/7/2019,LANKABAFIN,0,0,0,0,26,26,0,0,0
3/10/2019,LANKABAFIN,24.4,25.1,24.3,25,24.4,26,964,56.372,"2,288,817"
3/11/2019,LANKABAFIN,24.2,24.7,24.2,24.4,24.4,24.4,447,22.569,"923,011"
3/12/2019,LANKABAFIN,23.6,24.4,23.5,24.4,23.7,24.4,523,22.654,"947,732"
3/13/2019,LANKABAFIN,24,24,23.5,24,23.8,23.7,365,20.046,"843,189"
3/14/2019,LANKABAFIN,23.2,23.9,23.2,23.9,23.3,23.8,346,12.382,"527,143"
3/18/2019,LANKABAFIN,22.7,23.4,22.6,23.4,22.8,23.3,469,19.375,"847,718"
3/19/2019,LANKABAFIN,23.1,23.2,22.8,22.8,23.1,22.8,303,9.285,"403,338"
3/20/2019,LANKABAFIN,22.9,23.2,22.8,23.1,22.9,23.1,319,12.246,"533,024"
3/21/2019,LANKABAFIN,22.9,23,22.7,23,22.9,22.9,217,8.4,"367,210"
3/24/2019,LANKABAFIN,22.5,23.2,22.5,22.9,22.6,22.9,326,14.079,"621,998"
3/25/2019,LANKABAFIN,22.6,22.8,22.3,22.5,22.6,22.6,289,13.096,"581,306"
3/27/2019,LANKABAFIN,22.1,22.8,22.1,22.6,22.2,22.6,332,9.547,"426,942"
3/28/2019,LANKABAFIN,22.2,22.5,22.1,22.3,22.2,22.2,277,10.595,"476,883"
3/31/2019,LANKABAFIN,22.2,22.4,22.2,22.3,22.3,22.2,240,10.348,"464,698"
4/1/2019,LANKABAFIN,22.1,22.4,22.1,22.2,22.2,22.3,230,11.209,"504,033"
4/2/2019,LANKABAFIN,22.6,22.9,22.2,22.3,22.5,22.2,403,18.331,"814,130"
4/3/2019,LANKABAFIN,22.1,22.7,22.1,22.5,22.2,22.5,317,14.22,"637,643"
4/4/2019,LANKABAFIN,22.3,22.3,22,22.3,22.2,22.2,321,10.356,"468,328"
4/7/2019,LANKABAFIN,21.8,22.4,21.7,22.2,21.8,22.2,287,9.855,"446,648"
4/8/2019,LANKABAFIN,21,21.9,20.9,21.8,21.1,21.8,401,10.748,"504,040"
4/9/2019,LANKABAFIN,20.5,21.1,20.4,21,20.6,21.1,448,11.3,"543,377"
4/10/2019,LANKABAFIN,20.2,20.8,20.2,20.6,20.3,20.6,401,11.622,"567,996"
4/11/2019,LANKABAFIN,21,21,20.3,20.3,20.8,20.3,282,6.566,"317,818"
4/15/2019,LANKABAFIN,20.6,21.2,20.6,21,20.6,20.8,212,5.57,"267,539"
4/16/2019,LANKABAFIN,20.3,20.6,20.1,20.6,20.4,20.6,292,6.546,"321,536"
4/17/2019,LANKABAFIN,20.5,20.6,20,20.5,20.5,20.4,225,6.281,"308,230"
4/18/2019,LANKABAFIN,21.8,21.8,20.3,20.3,21,20.5,286,7.198,"346,810"
4/21/2019,LANKABAFIN,21.3,21.7,20.9,21.3,21.1,21,315,9.458,"444,664"
4/23/2019,LANKABAFIN,20.7,21.3,20.6,21.3,20.7,21.1,204,5.519,"264,992"
4/24/2019,LANKABAFIN,20.3,20.8,20.2,20.7,20.4,20.7,295,8.822,"431,878"
4/25/2019,LANKABAFIN,20.5,20.7,20.4,20.6,20.6,20.4,227,8.551,"416,227"
4/28/2019,LANKABAFIN,20.4,20.8,20.4,20.7,20.5,20.6,190,5.383,"261,193"
4/29/2019,LANKABAFIN,20.3,20.9,20.2,20.8,20.4,20.5,236,5.783,"283,150"
4/30/2019,LANKABAFIN,20.5,20.8,20.3,20.8,20.3,20.4,237,9.445,"461,452"
5/2/2019,LANKABAFIN,21.4,21.6,20.6,20.6,21.4,20.3,343,10.362,"491,754"
5/5/2019,LANKABAFIN,22.5,22.7,21.6,21.6,22.6,21.4,598,17.611,"795,062"
5/6/2019,LANKABAFIN,22,22.7,22,22.7,22.2,22.6,344,11.349,"509,309"
5/7/2019,LANKABAFIN,21.5,22.5,21.5,22.2,21.7,22.2,333,13.113,"597,557"
5/8/2019,LANKABAFIN,21,21.7,20.9,21.7,21.1,21.7,510,18.297,"868,345"
5/9/2019,LANKABAFIN,21.1,21.1,20.8,21.1,21,21.1,423,10.695,"509,277"
5/12/2019,LANKABAFIN,21.3,21.3,21,21.1,21.2,21,178,4.544,"214,723"
5/13/2019,LANKABAFIN,21.2,21.3,20.9,21.2,21,21.2,145,3.731,"177,477"
5/14/2019,LANKABAFIN,20.8,21.1,20.8,21,20.8,21,170,5.095,"244,001"
5/15/2019,LANKABAFIN,20.9,21,20.6,20.8,20.9,20.8,172,5.91,"283,421"
5/16/2019,LANKABAFIN,21.2,21.2,20.9,20.9,21.1,20.9,232,8.662,"411,164"
5/19/2019,LANKABAFIN,22.1,22.7,21.3,21.3,22.3,21.1,835,30.058,"1,367,135"
5/20/2019,LANKABAFIN,21.7,22.4,21.5,22.4,21.7,22.3,316,10.435,"478,420"
5/21/2019,LANKABAFIN,21.1,21.6,21,21.6,21.1,21.7,336,13.372,"630,875"
5/22/2019,LANKABAFIN,21.4,21.5,21.2,21.3,21.4,21.1,211,7.843,"368,116"
5/23/2019,LANKABAFIN,21.4,21.8,21.2,21.6,21.3,21.4,281,15.858,"741,015"
5/26/2019,LANKABAFIN,21.2,21.5,21,21.4,21.1,21.3,278,10.914,"514,072"
5/27/2019,LANKABAFIN,21.5,21.9,21.2,21.3,21.6,21.1,425,16.964,"784,535"
5/28/2019,LANKABAFIN,21.8,21.9,21.6,21.7,21.8,21.6,301,9.287,"426,276"
5/29/2019,LANKABAFIN,22.1,22.1,21.6,21.9,22,21.8,375,20.833,"954,871"
5/30/2019,LANKABAFIN,22,22.2,21.7,22.2,22.1,22,308,10.52,"479,750"
6/9/2019,LANKABAFIN,22.2,22.5,22,22.2,22.2,22.1,392,13.088,"588,754"
