DATE,HIGH,LOW,OPEN,CLOSE,VOLUME
2/11/2019,267.7,264.7,266,265.7,"293,909"
2/12/2019,266.9,264.2,264.2,265.7,"364,097"
2/13/2019,266.9,264.1,266.9,264.7,"222,032"
2/14/2019,265.9,263.4,264.5,264,"439,282"
2/17/2019,265,263.7,265,264,"300,381"
2/18/2019,266.5,264,264,266,"625,965"
2/19/2019,269.9,265,266,268.4,"807,496"
2/20/2019,270.7,267.8,269,269.9,"1,615,812"
2/24/2019,271.6,267.1,270,270.9,"410,361"
2/25/2019,274.3,271,271,274.1,"1,645,581"
2/26/2019,277.3,274.1,274.1,276.1,"1,448,764"
2/27/2019,276.2,272.3,276.2,273.8,"573,651"
3/3/2019,273.8,270.1,273.8,272.6,"336,512"
3/4/2019,272.6,269,272.6,270.1,"1,181,878"
3/5/2019,270.2,266.3,270.1,268.1,"686,458"
3/6/2019,268.9,266.2,267.1,266.7,"541,028"
3/7/2019,270,266.7,266.7,267.7,"232,992"
3/10/2019,270,267.8,268.1,269.6,"195,935"
3/11/2019,272,267,272,268,"209,650"
3/12/2019,269.4,266.8,268,268.5,"430,720"
3/13/2019,268,265.6,267.3,266.4,"331,461"
3/14/2019,268.6,265.5,265.5,267.6,"688,233"
3/18/2019,268.4,266.2,266.4,267.3,"736,787"
3/19/2019,272.8,266.5,267.4,272.1,"528,363"
3/20/2019,272.9,269.5,272.1,272.2,"569,301"
3/21/2019,272.4,269.7,272.4,269.9,"212,220"
3/24/2019,270,268.7,270,269.4,"216,812"
3/25/2019,271.4,268.3,269.4,269.5,"157,775"
3/27/2019,272,267,269.2,267.7,"537,158"
3/28/2019,269.2,267.7,268.1,268.1,"148,955"
3/31/2019,268.3,266.6,267.3,266.9,"166,598"
4/1/2019,268.8,266.8,266.9,267.1,"182,195"
4/2/2019,269.1,267.1,267.3,268,"174,103"
4/3/2019,268,266.5,268,267,"230,604"
4/4/2019,268,266.5,267,267.5,"116,688"
4/7/2019,267.4,265.5,266.5,266,"121,341"
4/8/2019,266,260,266,260.8,"408,556"
4/9/2019,264.9,260.2,262.6,262.8,"194,257"
4/10/2019,264.1,260,262.1,260.3,"209,510"
4/11/2019,263.4,260.1,261,262.4,"150,562"
4/15/2019,263.5,260,263.5,260.3,"291,701"
4/16/2019,261.5,255.4,260.3,256.6,"277,273"
4/17/2019,259.8,256.2,256.8,258.2,"189,760"
4/18/2019,260.2,257.6,258.1,259,"167,621"
4/21/2019,261.5,259,259.1,260.2,"128,769"
4/23/2019,260.2,256.8,260.2,257.2,"108,910"
4/24/2019,259.7,256,258,257.3,"141,815"
4/25/2019,261,258.1,258.5,259.4,"100,717"
4/28/2019,260,258,259.6,258.6,"100,464"
4/29/2019,259.6,256.6,259,257.6,"202,697"
4/30/2019,262,258.1,259,259.9,"247,221"
5/2/2019,262.5,259.3,260,260,"255,420"
5/5/2019,262.4,260.5,261.5,261.5,"143,838"
5/6/2019,263.3,260.9,262.1,261.8,"127,937"
5/7/2019,262,259.1,262,259.4,"182,525"
5/8/2019,259.5,258,259.5,258.6,"107,107"
5/9/2019,259,257,258.7,257.6,"126,633"
5/12/2019,258.5,257.4,258,257.6,"76,122"
5/13/2019,259,254,257.6,255,"274,203"
5/14/2019,256.8,253.5,255.2,254.2,"195,769"
5/15/2019,255.8,245.5,254.2,248.4,"445,878"
5/16/2019,249.5,248.3,249.5,248.7,"177,331"
5/19/2019,253.8,249.5,249.5,252.4,"161,693"
5/20/2019,254.6,248.7,253,249.5,"150,800"
5/21/2019,250,248.2,249.5,248.9,"116,610"
5/22/2019,250.7,248.5,250,248.8,"242,903"
5/23/2019,249.9,248,249,248.3,"118,726"
5/26/2019,249,246.9,248.5,247.6,"113,730"
5/27/2019,248,244.9,248,245.8,"823,118"
5/28/2019,253.1,246.5,247.7,251.9,"498,747"
5/29/2019,257.1,251,252,255.2,"159,795"
5/30/2019,256,254.1,255.5,254.8,"154,608"
6/9/2019,256.9,253.5,254.8,253.9,"127,342"
6/10/2019,256.4,254,254.8,256.2,"154,786"
6/11/2019,258.4,256.4,256.8,257.7,"550,812"
6/12/2019,258.4,257,258,257.4,"179,823"
6/13/2019,258.4,257,257.5,257.9,"257,618"
6/16/2019,258.9,255,257.9,255.2,"129,084"
6/17/2019,255.3,252.8,255.2,254.1,"438,845"
6/18/2019,259.5,255,255,257.5,"257,903"
6/19/2019,261,257.9,258,260.2,"264,946"
6/20/2019,262,259.4,261,260.7,"194,640"
6/23/2019,262.5,260,260.7,260.6,"281,597"
6/24/2019,261.5,260,261,261.2,"194,566"
6/25/2019,261.7,260.4,260.5,260.7,"379,358"
6/26/2019,263.9,260.7,260.7,263.4,"400,826"
6/27/2019,264.9,262.8,263.5,263.5,"994,149"
